               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.090714,             0.13551,                   0,              0.9105,             0.83372,             0.90476,             0.39795,            0.078073,              0.1381,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.090339,             0.12976,                   0,             0.92418,             0.84544,              0.9158,             0.44255,            0.076338,             0.13458,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.089248,             0.12886,                   0,             0.92184,             0.84544,             0.91769,             0.44203,            0.076622,             0.13473,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.090504,             0.13071,                   0,             0.92271,             0.84207,             0.91044,             0.44113,            0.075969,             0.13579,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.087208,             0.12179,                   0,             0.90789,             0.84866,              0.9145,             0.43034,            0.076271,             0.13454,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.088906,             0.13334,                   0,             0.90728,             0.84253,               0.906,             0.41676,            0.077451,             0.13485,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.088967,             0.13002,                   0,             0.90943,             0.84366,             0.90258,             0.41077,            0.076854,             0.13523,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.089228,             0.12542,                   0,             0.90596,             0.84336,              0.9084,             0.41485,            0.077447,             0.13621,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.089901,              0.1304,                   0,             0.92006,              0.8527,             0.91329,             0.42168,            0.076687,             0.13452,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.087835,             0.12392,                   0,             0.92515,             0.84627,             0.90973,              0.4274,            0.076201,             0.13483,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.090849,             0.13237,                   0,             0.90395,              0.8444,             0.89942,             0.39923,            0.078243,              0.1378,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.089272,             0.12817,                   0,             0.93074,             0.84025,             0.90578,             0.41833,            0.077443,             0.13559,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.087979,             0.12623,                   0,             0.90641,             0.84394,             0.90384,             0.41197,            0.076828,             0.13793,                   0,            0.003565,            0.003565,            0.003565
                 132,            0.089791,             0.13347,                   0,             0.90086,             0.83506,             0.89595,             0.41088,            0.077719,             0.13845,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.086663,             0.12373,                   0,             0.92753,             0.83921,             0.90669,              0.4366,            0.075828,              0.1361,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.088727,             0.12901,                   0,             0.91557,              0.8195,             0.89802,             0.38916,             0.07916,             0.14007,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.087623,             0.12812,                   0,             0.91525,             0.85141,             0.90755,             0.42207,            0.076705,             0.13603,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.089212,              0.1306,                   0,              0.9081,             0.84058,             0.91031,              0.3972,            0.077761,             0.13752,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,            0.087787,             0.12564,                   0,             0.93886,             0.81432,             0.90478,             0.41583,            0.077188,             0.13818,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.090137,             0.12873,                   0,             0.92034,             0.83817,             0.91355,             0.41343,             0.07671,             0.13657,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.085417,             0.12032,                   0,             0.92821,              0.8048,             0.89363,             0.38807,            0.078794,             0.14092,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.089426,             0.13077,                   0,             0.91677,             0.84558,             0.90653,             0.41397,            0.077085,             0.13689,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.087021,             0.12457,                   0,             0.92639,             0.83921,             0.90775,             0.41609,            0.076736,             0.13469,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.086815,             0.12467,                   0,             0.91807,             0.84647,             0.91308,             0.42399,             0.07646,             0.13516,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.088542,             0.12284,                   0,             0.89933,              0.8618,              0.9106,             0.40615,            0.077134,             0.13637,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.088594,             0.12766,                   0,             0.92219,             0.83599,             0.90403,             0.39952,            0.078248,             0.13825,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.088633,             0.13207,                   0,             0.91058,             0.84503,             0.90395,             0.41374,             0.07759,             0.13607,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.088542,             0.12828,                   0,             0.91357,             0.85581,             0.90775,              0.4134,            0.076496,             0.13503,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.088742,             0.12786,                   0,             0.91635,             0.85685,             0.91785,             0.42292,            0.076709,             0.13573,                   0,            0.002773,            0.002773,            0.002773
                 148,            0.087434,             0.12655,                   0,             0.94126,             0.82469,             0.90199,             0.42135,            0.076661,             0.13698,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.088042,             0.13419,                   0,             0.92893,             0.82713,             0.90711,             0.41544,            0.076882,              0.1358,                   0,            0.002674,            0.002674,            0.002674
                 150,            0.087086,              0.1221,                   0,             0.93427,             0.82573,             0.90353,             0.40184,            0.077088,             0.13798,                   0,           0.0026245,           0.0026245,           0.0026245
